lon,lat,elev_m,dB_mGal
-75.37018239623782,4.475767437137818,2563.0,-60.190278725251
-75.36766733599686,4.475767437137818,2741.0,-59.94886401252905
-75.36543172689377,4.475767437137818,2882.0,-60.531406595701064
-75.36291666665281,4.475767437137818,3005.0,-61.33273530718821
-75.4093055555417,4.477726074607404,1943.0,-60.88999357615913
-75.40679049530074,4.477726074607404,1910.0,-60.239644287472615
-75.40455488619766,4.477726074607404,2005.0,-59.40270489929159
-75.40203982595669,4.477726074607404,2158.0,-58.87344798057349
-75.39952476571574,4.477726074607404,2266.0,-58.29050842812226
-75.39700970547477,4.477726074607404,2323.0,-57.26208578656747
-75.39477409637169,4.477726074607404,2388.0,-55.57838653556239
-75.39225903613072,4.477726074607404,2435.0,-50.92582458014688
-75.38974397588976,4.477726074607404,2525.0,-49.67243670202871
-75.38722891564879,4.477726074607404,2556.0,-51.02975207007315
-75.38499330654572,4.477726074607404,2492.0,-59.10894101495359
-75.38247824630476,4.477726074607404,2490.0,-61.15719178498251
-75.37996318606379,4.477726074607404,2503.0,-63.572394213637935
-75.37744812582282,4.477726074607404,2516.0,-64.5131412045378
-75.37521251671974,4.477726074607404,2448.0,-63.90548813097588
-75.37269745647878,4.477726074607404,2417.0,-62.530227701106355
-75.37018239623782,4.477726074607404,2613.0,-60.71693776771458
-75.36766733599686,4.477726074607404,2775.0,-59.969665752473375
-75.36543172689377,4.477726074607404,2905.0,-60.26002004349754
-75.36291666665281,4.477726074607404,3006.0,-61.121517753537475
-75.4093055555417,4.479684712076991,1922.0,-61.12105566850558
-75.40679049530074,4.479684712076991,1915.0,-60.40141564140816
-75.40455488619766,4.479684712076991,2118.0,-59.46184384650299
-75.40203982595669,4.479684712076991,2210.0,-58.84693394909486
-75.39952476571574,4.479684712076991,2313.0,-59.23483342546528
-75.39700970547477,4.479684712076991,2340.0,-58.65089157477503
-75.39477409637169,4.479684712076991,2376.0,-55.70355449225749
-75.39225903613072,4.479684712076991,2508.0,-53.61822275941723
-75.38974397588976,4.479684712076991,2625.0,-54.321744478817465
-75.38722891564879,4.479684712076991,2631.0,-57.953302780707126
-75.38499330654572,4.479684712076991,2637.0,-62.96069267891609
-75.38247824630476,4.479684712076991,2573.0,-65.41813398078675
-75.37996318606379,4.479684712076991,2483.0,-66.58263551770182
-75.37744812582282,4.479684712076991,2551.0,-67.10250600857054
-75.37521251671974,4.479684712076991,2498.0,-65.83133265241013
-75.37269745647878,4.479684712076991,2413.0,-63.62885030081432
-75.37018239623782,4.479684712076991,2558.0,-60.663493920022944
-75.36766733599686,4.479684712076991,2791.0,-59.66621881548165
-75.36543172689377,4.479684712076991,2918.0,-59.89924364086199
-75.36291666665281,4.479684712076991,2923.0,-60.73288695401018
-75.4093055555417,4.481923154899375,1896.0,-61.43774356947852
-75.40679049530074,4.481923154899375,1860.0,-60.66491749609758
-75.40455488619766,4.481923154899375,2005.0,-60.10476754773109
-75.40203982595669,4.481923154899375,2174.0,-59.86954056670359
-75.39952476571574,4.481923154899375,2283.0,-60.64515729873868
-75.39700970547477,4.481923154899375,2390.0,-60.903920240161625
-75.39477409637169,4.481923154899375,2384.0,-59.64494456472784
-75.39225903613072,4.481923154899375,2547.0,-58.856238111030905
-75.38974397588976,4.481923154899375,2707.0,-60.71062200891091
-75.38722891564879,4.481923154899375,2678.0,-64.34664810751678
-75.38499330654572,4.481923154899375,2715.0,-67.81092069363754
-75.38247824630476,4.481923154899375,2574.0,-69.57617822533618
-75.37996318606379,4.481923154899375,2493.0,-70.77624633097417
-75.37744812582282,4.481923154899375,2518.0,-70.41898146307881
-75.37521251671974,4.481923154899375,2520.0,-67.92879918394065
-75.37269745647878,4.481923154899375,2456.0,-64.14459529348238
-75.37018239623782,4.481923154899375,2571.0,-60.308376290928756
-75.36766733599686,4.481923154899375,2751.0,-58.92999693863382
-75.36543172689377,4.481923154899375,2834.0,-59.4052181638531
-75.36291666665281,4.481923154899375,2792.0,-60.28596492875539
-75.4093055555417,4.483881792368962,1929.0,-61.59809887749778
-75.40679049530074,4.483881792368962,1773.0,-60.97619582136067
-75.40455488619766,4.483881792368962,1895.0,-60.67564246844162
-75.40203982595669,4.483881792368962,2016.0,-60.824073400631896
-75.39952476571574,4.483881792368962,2236.0,-61.84397631241317
-75.39700970547477,4.483881792368962,2337.0,-62.809195234645664
-75.39477409637169,4.483881792368962,2372.0,-63.26559309667394
-75.39225903613072,4.483881792368962,2532.0,-63.989646522778955
-75.38974397588976,4.483881792368962,2740.0,-66.44319091959123
-75.38722891564879,4.483881792368962,2669.0,-69.68733525064776
-75.38499330654572,4.483881792368962,2662.0,-72.28745980945567
-75.38247824630476,4.483881792368962,2510.0,-74.18560697902983
-75.37996318606379,4.483881792368962,2496.0,-74.8401551628993
-75.37744812582282,4.483881792368962,2528.0,-73.83364581772084
-75.37521251671974,4.483881792368962,2571.0,-69.52367340846699
-75.37269745647878,4.483881792368962,2482.0,-63.75831476288061
-75.37018239623782,4.483881792368962,2560.0,-60.39389485028973
-75.36766733599686,4.483881792368962,2725.0,-59.438812194627054
-75.36543172689377,4.483881792368962,2758.0,-59.280768668773945
-75.36291666665281,4.483881792368962,2671.0,-60.01912487258829
-75.4093055555417,4.485840429838549,1934.0,-61.67234431475928
-75.40679049530074,4.485840429838549,1809.0,-61.25403346533663
-75.40455488619766,4.485840429838549,1767.0,-60.964406154791206
-75.40203982595669,4.485840429838549,1991.0,-61.500317046133986
-75.39952476571574,4.485840429838549,2160.0,-62.737795871772384
-75.39700970547477,4.485840429838549,2209.0,-64.28265922201608
-75.39477409637169,4.485840429838549,2328.0,-65.43255227074195
-75.39225903613072,4.485840429838549,2509.0,-68.58573880953155
-75.38974397588976,4.485840429838549,2718.0,-72.11793422868368
-75.38722891564879,4.485840429838549,2624.0,-74.669973358696
-75.38499330654572,4.485840429838549,2567.0,-76.43274303982119
-75.38247824630476,4.485840429838549,2445.0,-77.87822079181011
-75.37996318606379,4.485840429838549,2476.0,-78.35855678294539
-75.37744812582282,4.485840429838549,2594.0,-76.39954449471823
-75.37521251671974,4.485840429838549,2592.0,-70.19827913582101
-75.37269745647878,4.485840429838549,2509.0,-63.44476424819036
-75.37018239623782,4.485840429838549,2585.0,-60.96322318048834
-75.36766733599686,4.485840429838549,2680.0,-60.31094544528339
-75.36543172689377,4.485840429838549,2658.0,-59.49021012229815
-75.36291666665281,4.485840429838549,2607.0,-59.90106677292739
-75.4093055555417,4.487799067308136,2045.0,-61.81568635046177
-75.40679049530074,4.487799067308136,1901.0,-61.56362003945146
-75.40455488619766,4.487799067308136,1733.0,-61.29153615937406
-75.40203982595669,4.487799067308136,1929.0,-62.09199212584482
-75.39952476571574,4.487799067308136,2060.0,-63.6325133221254
-75.39700970547477,4.487799067308136,2229.0,-65.25092621388
-75.39477409637169,4.487799067308136,2333.0,-68.31355900533585
-75.39225903613072,4.487799067308136,2465.0,-72.44883868194931
-75.38974397588976,4.487799067308136,2642.0,-77.99474406208437
-75.38722891564879,4.487799067308136,2570.0,-78.30684090225816
-75.38499330654572,4.487799067308136,2544.0,-79.45131454489737
-75.38247824630476,4.487799067308136,2404.0,-80.6443236714178
-75.37996318606379,4.487799067308136,2484.0,-79.95525756648804
-75.37744812582282,4.487799067308136,2636.0,-76.9574075948011
-75.37521251671974,4.487799067308136,2551.0,-69.54797410940986
-75.37269745647878,4.487799067308136,2489.0,-62.877274073431224
-75.37018239623782,4.487799067308136,2610.0,-60.94789027353953
-75.36766733599686,4.487799067308136,2618.0,-60.42976434251585
-75.36543172689377,4.487799067308136,2566.0,-59.724635116669376
-75.36291666665281,4.487799067308136,2537.0,-60.15893779477611
-75.4093055555417,4.49003751013052,2106.0,-62.05951292427017
-75.40679049530074,4.49003751013052,1950.0,-61.78612495431733
-75.40455488619766,4.49003751013052,1759.0,-61.84593197635397
-75.40203982595669,4.49003751013052,1844.0,-62.788294053200644
-75.39952476571574,4.49003751013052,2169.0,-64.45931457689781
-75.39700970547477,4.49003751013052,2276.0,-66.30870096070532
-75.39477409637169,4.49003751013052,2334.0,-69.61443562332562
-75.39225903613072,4.49003751013052,2407.0,-73.80726934662154
-75.38974397588976,4.49003751013052,2497.0,-77.67339081356299
-75.38722891564879,4.49003751013052,2530.0,-79.24281592910532
