lon,lat,elev_m,dBn_nT_per_m,dBe_nT_per_m,dBz_nT_per_m
-75.38247824630476,4.4696117193762595,2425.0,2699.2935200616794,2430.749020195712,-337.79564333009233
-75.37996318606379,4.4696117193762595,2388.0,2340.482926713497,2212.5415469791014,-345.9130373728472
-75.37744812582282,4.4696117193762595,2355.0,2012.6763879510806,1893.2365736039715,-345.9130373811332
-75.37521251671974,4.4696117193762595,2351.0,1742.191310438522,1638.724812990683,-345.9130373811332
-75.37269745647878,4.4696117193762595,2441.0,1543.559965062162,1261.1205410764094,-345.9130373811332
-75.37018239623782,4.4696117193762595,2623.0,1489.336308566377,830.1042647822214,-345.9130373811332
-75.36766733599686,4.4696117193762595,2802.0,1432.592477003112,546.9888732103668,-345.9130373811332
-75.36543172689377,4.4696117193762595,2894.0,1368.8756903003243,490.35391428735863,-345.9130373811332
-75.36291666665281,4.4696117193762595,2825.0,1417.7077466185438,489.47005150632054,-345.9130373811332
-75.4093055555417,4.471850162198645,1966.0,1510.1781707703904,536.2810767563442,-345.9130373811332
-75.40679049530074,4.471850162198645,1966.0,1596.15219636679,446.00576667187465,-345.9130373811332
-75.40455488619766,4.471850162198645,2130.0,1722.3377382077897,284.65223356151694,-345.9130373811332
-75.40203982595669,4.471850162198645,2185.0,1934.6945133042386,112.64280277508266,-345.9130373811332
-75.39952476571574,4.471850162198645,2192.0,2212.6370165164017,44.091797574895935,-345.9130373811332
-75.39700970547477,4.471850162198645,2267.0,2590.0054532703944,53.99865130515643,-345.9130373811332
-75.39477409637169,4.471850162198645,2344.0,2890.543321670077,137.1203670245758,-345.9126306458552
-75.39225903613072,4.471850162198645,2476.0,3229.1128883082883,476.3359282548204,-363.92740467680517
-75.38974397588976,4.471850162198645,2605.0,3356.3123792585343,1554.488766241029,-216.3605232056268
-75.38722891564879,4.471850162198645,2598.0,2912.6403688318615,3812.3066812567818,10.012118286361222
-75.38499330654572,4.471850162198645,2568.0,2966.468897371358,3588.306756342906,-140.2843469618055
-75.38247824630476,4.471850162198645,2536.0,2769.8387999828747,2865.3188834869925,-333.28824054983914
-75.37996318606379,4.471850162198645,2467.0,2490.615467758659,2321.1039141970705,-345.9130373811332
-75.37744812582282,4.471850162198645,2410.0,2216.338380528876,1944.4613915134305,-345.9130373811332
-75.37521251671974,4.471850162198645,2359.0,1904.8736664368566,1628.288775877657,-345.9130373811332
-75.37269745647878,4.471850162198645,2463.0,1572.7303610301842,1318.1938989027813,-345.9130373811332
-75.37018239623782,4.471850162198645,2639.0,1438.510213925138,927.4541493097404,-345.9130373811332
-75.36766733599686,4.471850162198645,2792.0,1441.8878548179896,572.3091682429066,-345.9130373811332
-75.36543172689377,4.471850162198645,2922.0,1442.1137045357532,489.5124183264341,-345.9130373811332
-75.36291666665281,4.471850162198645,2961.0,1492.5525676940822,489.47005150632054,-345.9130373811332
-75.4093055555417,4.473808799668231,1910.0,1322.7589218493144,579.031936477444,-345.9130373811332
-75.40679049530074,4.473808799668231,1995.0,1402.2637417124113,408.1384010843616,-345.9130373811332
-75.40455488619766,4.473808799668231,2054.0,1542.3175436003232,244.90566913004477,-345.9130373811332
-75.40203982595669,4.473808799668231,2135.0,1757.313971134069,138.33543244172145,-345.9130373811332
-75.39952476571574,4.473808799668231,2220.0,2102.553191696783,134.20965381153093,-345.9130373811332
-75.39700970547477,4.473808799668231,2259.0,2472.0471769818896,172.40786114558406,-345.91644432554426
-75.39477409637169,4.473808799668231,2317.0,2753.4022792203514,187.38030423775103,-347.7595243642696
-75.39225903613072,4.473808799668231,2476.0,3188.326838338411,262.79708551911233,-467.20131139502934
-75.38974397588976,4.473808799668231,2464.0,3712.2554887899987,657.4152132109022,-252.83482897993025
-75.38722891564879,4.473808799668231,2476.0,3244.5177048329133,2049.117276058144,322.03481351173264
-75.38499330654572,4.473808799668231,2554.0,3038.37595510742,2826.2822524112275,-216.02085026441824
-75.38247824630476,4.473808799668231,2618.0,2805.460814779473,2647.9276533873417,-346.36919745444044
-75.37996318606379,4.473808799668231,2537.0,2538.234755022074,2283.770304808454,-345.9130373811332
-75.37744812582282,4.473808799668231,2443.0,2276.884970607602,1851.100587199021,-345.9130373811332
-75.37521251671974,4.473808799668231,2383.0,2044.5628959119804,1544.0471698271876,-345.9130373811332
-75.37269745647878,4.473808799668231,2422.0,1678.5701833091402,1253.1607291426049,-345.9130373811332
