# META_JSON={"dz_m": 25.0, "model_depth_m": 2000.0, "dome_depth_m": 600.0, "under_depth_m": 750.0, "crater_depth_m": 50.0, "affine6": [0.0002777777777778146, 0.0, -75.4093055555417, 0.0, -0.0002777777777778146, 4.504027777770425], "units": ["Complejo Cajamarca", "Edificio Volcánico", "Depósitos dentro del cráter", "Domo dacítico", "under_dome"], "unit_properties": {"Complejo Cajamarca": {"dens": 2.9, "chi": 0.01}, "Edificio Volcánico": {"dens": 1.8, "chi": 0.02}, "Depósitos dentro del cráter": {"dens": 1.95, "chi": 0.015}, "Domo dacítico": {"dens": 2.5, "chi": 0.03}, "under_dome": {"dens": 1.9, "chi": 0.02}}, "grid_shape": {"nk": 80, "H": 138, "W": 167}, "note": "Leer con pandas.read_csv(..., comment='#'). Cada fila es un intervalo vertical continuo por (x,y)."}
x_easting_m,y_northing_m,top_depth_m,bottom_depth_m,top_elev_m,bottom_elev_m,unit,dens,chi
-75.39333333331948,4.503888888881536,0.0,625.0,2178.0,1553.0,Edificio Volcánico,1.8,0.02
-75.39333333331948,4.503888888881536,625.0,2000.0,1553.0,178.0,Complejo Cajamarca,2.9,0.01
-75.39305555554171,4.503888888881536,0.0,625.0,2199.0,1574.0,Edificio Volcánico,1.8,0.02
-75.39305555554171,4.503888888881536,625.0,2000.0,1574.0,199.0,Complejo Cajamarca,2.9,0.01
-75.39277777776392,4.503888888881536,0.0,625.0,2219.0,1594.0,Edificio Volcánico,1.8,0.02
-75.39277777776392,4.503888888881536,625.0,2000.0,1594.0,219.0,Complejo Cajamarca,2.9,0.01
-75.39249999998614,4.503888888881536,0.0,625.0,2224.0,1599.0,Edificio Volcánico,1.8,0.02
-75.39249999998614,4.503888888881536,625.0,2000.0,1599.0,224.0,Complejo Cajamarca,2.9,0.01
-75.39222222220837,4.503888888881536,0.0,625.0,2227.0,1602.0,Edificio Volcánico,1.8,0.02
-75.39222222220837,4.503888888881536,625.0,2000.0,1602.0,227.0,Complejo Cajamarca,2.9,0.01
-75.39194444443059,4.503888888881536,0.0,625.0,2231.0,1606.0,Edificio Volcánico,1.8,0.02
-75.39194444443059,4.503888888881536,625.0,2000.0,1606.0,231.0,Complejo Cajamarca,2.9,0.01
-75.39166666665281,4.503888888881536,0.0,625.0,2233.0,1608.0,Edificio Volcánico,1.8,0.02
-75.39166666665281,4.503888888881536,625.0,2000.0,1608.0,233.0,Complejo Cajamarca,2.9,0.01
-75.39138888887504,4.503888888881536,0.0,625.0,2231.0,1606.0,Edificio Volcánico,1.8,0.02
-75.39138888887504,4.503888888881536,625.0,2000.0,1606.0,231.0,Complejo Cajamarca,2.9,0.01
-75.39111111109726,4.503888888881536,0.0,625.0,2226.0,1601.0,Edificio Volcánico,1.8,0.02
-75.39111111109726,4.503888888881536,625.0,2000.0,1601.0,226.0,Complejo Cajamarca,2.9,0.01
-75.39083333331948,4.503888888881536,0.0,625.0,2234.0,1609.0,Edificio Volcánico,1.8,0.02
-75.39083333331948,4.503888888881536,625.0,2000.0,1609.0,234.0,Complejo Cajamarca,2.9,0.01
-75.39055555554171,4.503888888881536,0.0,625.0,2258.0,1633.0,Edificio Volcánico,1.8,0.02
-75.39055555554171,4.503888888881536,625.0,2000.0,1633.0,258.0,Complejo Cajamarca,2.9,0.01
-75.39027777776393,4.503888888881536,0.0,625.0,2271.0,1646.0,Edificio Volcánico,1.8,0.02
-75.39027777776393,4.503888888881536,625.0,2000.0,1646.0,271.0,Complejo Cajamarca,2.9,0.01
-75.38999999998614,4.503888888881536,0.0,625.0,2278.0,1653.0,Edificio Volcánico,1.8,0.02
-75.38999999998614,4.503888888881536,625.0,2000.0,1653.0,278.0,Complejo Cajamarca,2.9,0.01
-75.38972222220838,4.503888888881536,0.0,625.0,2290.0,1665.0,Edificio Volcánico,1.8,0.02
-75.38972222220838,4.503888888881536,625.0,2000.0,1665.0,290.0,Complejo Cajamarca,2.9,0.01
-75.3894444444306,4.503888888881536,0.0,625.0,2300.0,1675.0,Edificio Volcánico,1.8,0.02
-75.3894444444306,4.503888888881536,625.0,2000.0,1675.0,300.0,Complejo Cajamarca,2.9,0.01
-75.38916666665281,4.503888888881536,0.0,625.0,2301.0,1676.0,Edificio Volcánico,1.8,0.02
-75.38916666665281,4.503888888881536,625.0,2000.0,1676.0,301.0,Complejo Cajamarca,2.9,0.01
-75.38888888887504,4.503888888881536,0.0,625.0,2310.0,1685.0,Edificio Volcánico,1.8,0.02
-75.38888888887504,4.503888888881536,625.0,2000.0,1685.0,310.0,Complejo Cajamarca,2.9,0.01
-75.38861111109726,4.503888888881536,0.0,625.0,2320.0,1695.0,Edificio Volcánico,1.8,0.02
-75.38861111109726,4.503888888881536,625.0,2000.0,1695.0,320.0,Complejo Cajamarca,2.9,0.01
-75.38833333331948,4.503888888881536,0.0,625.0,2335.0,1710.0,Edificio Volcánico,1.8,0.02
-75.38833333331948,4.503888888881536,625.0,2000.0,1710.0,335.0,Complejo Cajamarca,2.9,0.01
-75.3880555555417,4.503888888881536,0.0,625.0,2356.0,1731.0,Edificio Volcánico,1.8,0.02
-75.3880555555417,4.503888888881536,625.0,2000.0,1731.0,356.0,Complejo Cajamarca,2.9,0.01
-75.38777777776393,4.503888888881536,0.0,625.0,2382.0,1757.0,Edificio Volcánico,1.8,0.02
-75.38777777776393,4.503888888881536,625.0,2000.0,1757.0,382.0,Complejo Cajamarca,2.9,0.01
-75.38749999998615,4.503888888881536,0.0,625.0,2413.0,1788.0,Edificio Volcánico,1.8,0.02
